symbol,symbol_era_id,resolution_status,resolution_disposition,evidence_tier,research_route,instrument_type,historical_issuer_name,event_type,event_date,successor,primary_source_url,secondary_source_url,source_note,resolver
NESRW,NESRW#004,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NESR,warrant_unit_right_terminal_action,20250717,,local:parent-root-current-evidence,,Local terminal disposition: NESRW linked to parent/root symbol NESR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NESRW,NESRW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NESR,warrant_unit_right_terminal_action,20170606,,local:parent-root-current-evidence,,Local terminal disposition: NESRW linked to parent/root symbol NESR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NESRW,NESRW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NESR,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: NESRW linked to parent/root symbol NESR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NEXTW,NEXTW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NEXT,warrant_unit_right_terminal_action,20170804,,local:parent-root-current-evidence,,Local terminal disposition: NEXTW linked to parent/root symbol NEXT with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NEXTW,NEXTW#002,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NEXT,warrant_unit_right_terminal_action,20170925,,local:parent-root-current-evidence,,Local terminal disposition: NEXTW linked to parent/root symbol NEXT with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NEXTW,NEXTW#003,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NEXT,warrant_unit_right_terminal_action,20180221,,local:parent-root-current-evidence,,Local terminal disposition: NEXTW linked to parent/root symbol NEXT with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NSPRW,NSPRW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NSPR,warrant_unit_right_terminal_action,20210707,,local:parent-root-current-evidence,,Local terminal disposition: NSPRW linked to parent/root symbol NSPR with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NVNOW,NVNOW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NVNO,warrant_unit_right_terminal_action,20230526,,local:parent-root-current-evidence,,Local terminal disposition: NVNOW linked to parent/root symbol NVNO with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
NVTSW,NVTSW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root NVTS,warrant_unit_right_terminal_action,20220307,,local:parent-root-current-evidence,,Local terminal disposition: NVTSW linked to parent/root symbol NVTS with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
OCEAW,OCEAW#001,terminal_disposition,terminal_parent_security_linked,local_parent_root_evidence,warrant_unit_right_security_action,probable_warrant,Parent root OCEA,warrant_unit_right_terminal_action,20250423,,local:parent-root-current-evidence,,Local terminal disposition: OCEAW linked to parent/root symbol OCEA with current SEC/IEX evidence; does not assert standalone issuer proof.,parent_security_resolution_v1
